telefone,mensagem
553299371769,Nicole Fernandes
558133611650,Davi Lucca Nunes
556231420642,Helena Machado
554733316685,Erick Rocha
5518996138029,Maitê Silva
5511943688656,João Miguel Santos
553199300419,Liz Oliveira
551937567590,João Pedro Souza
554792888025,Vitória Rodrigues
559292680202,Enzo Gabriel Ferreira
554736313020,Maria Eduarda Alves
554799519883,Miguel Pereira
5511986940094,Bianca Lima
556134751400,Clara Costa
558581544865,Heitor Ribeiro
554130957296,Gabriela Martins
551151023333,Bernardo Carvalho
551140401841,Ana Beatriz Almeida
5518997367411,Davi Soares
5511971890503,Júlia Fernandes
551151978049,Samuel Nunes
551149351070,Manuela Machado
556139685050,Lucas Rocha
554799220093,Isabella Silva
5515997721834,Theo Santos
557534725727,Sophia Oliveira
552120187443,Matheus Souza
552124411500,Alice Rodrigues
554792649577,Rafael Ferreira
553140404824,Laura Alves
553197621002,Miguel Pereira
555195838675,Enzo Gomes
554799278951,Mariana Costa
554488248738,Pedro Ribeiro
558005917796,Lívia Martins
554891568310,Guilherme Carvalho
551151942649,Heloísa Almeida
556133720055,Nicolas Soares
557799020606,Isadora Fernandes
558530991100,Lorenzo Nunes
553185940500,Yasmin Machado
5521996201968,Benjamin Rocha
5519993867790,Cecília Silva
552136131715,Gustavo Santos
5511915567767,Felipe Souza
551125248352,Eloá Rodrigues
5524981559500,Davi Ferreira
555192053648,Ana Clara Alves
5519981667177,João Gabriel Pereira
553233130000,Lorena Lima
554488288436,Miguel Pereira
5527981393086,Giovanna Lima
557197406200,Enzo Gomes
5524998632309,Mariana Costa
5511949687739,Pedro Ribeiro
554399384359,Lívia Martins
553798310763,Guilherme Carvalho
5519996224029,Heloísa Almeida
5521970088847,Nicolas Soares
5511947384282,Lorenzo Nunes
558396551091,Yasmin Machado
556392612729,Benjamin Rocha
551145261366,Cecília Silva
551144116259,Gustavo Santos
554488595175,Felipe Souza
5511945457951,Eloá Rodrigues
551150395700,Davi Ferreira
